seed,simulate,simulate.scenario,simulate.output.file,fit,fit.output.file,mse.err
64,zh,1,zh/zh_253,ridge,ridge/zh_253_ridge_1,11.0415932846924
64,zh,2,zh/zh_254,ridge,ridge/zh_254_ridge_1,10.5774094716993
64,zh,3,zh/zh_255,ridge,ridge/zh_255_ridge_1,231.647941045631
64,zh,4,zh/zh_256,ridge,ridge/zh_256_ridge_1,255.639090770346
65,zh,1,zh/zh_257,ridge,ridge/zh_257_ridge_1,13.2395811809752
65,zh,2,zh/zh_258,ridge,ridge/zh_258_ridge_1,12.0120577122117
65,zh,3,zh/zh_259,ridge,ridge/zh_259_ridge_1,228.065214761216
65,zh,4,zh/zh_260,ridge,ridge/zh_260_ridge_1,264.762698012519
66,zh,1,zh/zh_261,ridge,ridge/zh_261_ridge_1,11.4506618584754
66,zh,2,zh/zh_262,ridge,ridge/zh_262_ridge_1,10.7093265100728
66,zh,3,zh/zh_263,ridge,ridge/zh_263_ridge_1,248.932767338724
66,zh,4,zh/zh_264,ridge,ridge/zh_264_ridge_1,310.791521855491
67,zh,1,zh/zh_265,ridge,ridge/zh_265_ridge_1,10.9702147775154
67,zh,2,zh/zh_266,ridge,ridge/zh_266_ridge_1,10.3888498131198
67,zh,3,zh/zh_267,ridge,ridge/zh_267_ridge_1,277.70668953169
67,zh,4,zh/zh_268,ridge,ridge/zh_268_ridge_1,257.822917328653
68,zh,1,zh/zh_269,ridge,ridge/zh_269_ridge_1,11.8322803739873
68,zh,2,zh/zh_270,ridge,ridge/zh_270_ridge_1,10.4399762611265
68,zh,3,zh/zh_271,ridge,ridge/zh_271_ridge_1,236.26405060248
68,zh,4,zh/zh_272,ridge,ridge/zh_272_ridge_1,249.814124144209
69,zh,1,zh/zh_273,ridge,ridge/zh_273_ridge_1,10.8572475121226
69,zh,2,zh/zh_274,ridge,ridge/zh_274_ridge_1,10.7609827392829
69,zh,3,zh/zh_275,ridge,ridge/zh_275_ridge_1,225.939513565263
69,zh,4,zh/zh_276,ridge,ridge/zh_276_ridge_1,285.049412578761
70,zh,1,zh/zh_277,ridge,ridge/zh_277_ridge_1,9.57930313393641
70,zh,2,zh/zh_278,ridge,ridge/zh_278_ridge_1,9.57884505814573
70,zh,3,zh/zh_279,ridge,ridge/zh_279_ridge_1,260.896240043689
70,zh,4,zh/zh_280,ridge,ridge/zh_280_ridge_1,311.673411859402
71,zh,1,zh/zh_281,ridge,ridge/zh_281_ridge_1,9.96902049937683
71,zh,2,zh/zh_282,ridge,ridge/zh_282_ridge_1,9.50470542917224
71,zh,3,zh/zh_283,ridge,ridge/zh_283_ridge_1,266.141550764324
71,zh,4,zh/zh_284,ridge,ridge/zh_284_ridge_1,261.980292533816
72,zh,1,zh/zh_285,ridge,ridge/zh_285_ridge_1,12.4640877122274
72,zh,2,zh/zh_286,ridge,ridge/zh_286_ridge_1,11.0013161451094
72,zh,3,zh/zh_287,ridge,ridge/zh_287_ridge_1,267.175031036373
72,zh,4,zh/zh_288,ridge,ridge/zh_288_ridge_1,262.747333303646
73,zh,1,zh/zh_289,ridge,ridge/zh_289_ridge_1,8.56147256036487
73,zh,2,zh/zh_290,ridge,ridge/zh_290_ridge_1,8.81520493486247
73,zh,3,zh/zh_291,ridge,ridge/zh_291_ridge_1,239.069292118634
73,zh,4,zh/zh_292,ridge,ridge/zh_292_ridge_1,254.318210541443
74,zh,1,zh/zh_293,ridge,ridge/zh_293_ridge_1,10.7146579968973
74,zh,2,zh/zh_294,ridge,ridge/zh_294_ridge_1,10.6951106339674
74,zh,3,zh/zh_295,ridge,ridge/zh_295_ridge_1,242.868955572225
74,zh,4,zh/zh_296,ridge,ridge/zh_296_ridge_1,285.036923426354
75,zh,1,zh/zh_297,ridge,ridge/zh_297_ridge_1,13.7682352421721
75,zh,2,zh/zh_298,ridge,ridge/zh_298_ridge_1,12.0520873220224
75,zh,3,zh/zh_299,ridge,ridge/zh_299_ridge_1,223.721910667991
75,zh,4,zh/zh_300,ridge,ridge/zh_300_ridge_1,253.094240237618
76,zh,1,zh/zh_301,ridge,ridge/zh_301_ridge_1,12.9976860061957
76,zh,2,zh/zh_302,ridge,ridge/zh_302_ridge_1,10.6349232456183
76,zh,3,zh/zh_303,ridge,ridge/zh_303_ridge_1,204.318252295545
76,zh,4,zh/zh_304,ridge,ridge/zh_304_ridge_1,263.518323494879
77,zh,1,zh/zh_305,ridge,ridge/zh_305_ridge_1,13.038712664006
77,zh,2,zh/zh_306,ridge,ridge/zh_306_ridge_1,11.4499048990006
77,zh,3,zh/zh_307,ridge,ridge/zh_307_ridge_1,232.483458132886
77,zh,4,zh/zh_308,ridge,ridge/zh_308_ridge_1,283.572872083966
